model,target,label,r2,summary_type
graph_model,worst_slack_ns,s713,0.9580994526474326,design
graph_model,worst_slack_ns,s820,0.940956230620872,design
graph_model,worst_slack_ns,s349,0.9740400678614108,design
graph_model,worst_slack_ns,s298,0.9506864204607476,design
graph_model,worst_slack_ns,s382,0.9528497667032648,design
graph_model,worst_slack_ns,Average,0.6029604414441448,mean
linear_regression,worst_slack_ns,s713,0.9462941884994508,design
linear_regression,worst_slack_ns,s820,0.9673300981521606,design
linear_regression,worst_slack_ns,s349,0.941667914390564,design
linear_regression,worst_slack_ns,s298,0.9195203185081482,design
linear_regression,worst_slack_ns,s382,0.9168256521224976,design
linear_regression,worst_slack_ns,Average,0.7338367274829319,mean
mlp,worst_slack_ns,s713,0.9647414088249208,design
mlp,worst_slack_ns,s820,0.9565261006355286,design
mlp,worst_slack_ns,s349,0.9359362721443176,design
mlp,worst_slack_ns,s298,0.9777932167053224,design
mlp,worst_slack_ns,s382,0.9772146344184875,design
mlp,worst_slack_ns,Average,0.7087979504040309,mean
graph_model,total_negative_slack_ns,s9234,0.8171388237267667,design
graph_model,total_negative_slack_ns,s713,0.2400128172390331,design
graph_model,total_negative_slack_ns,s5378a,-0.0852309966285054,design
graph_model,total_negative_slack_ns,s5378,0.051297573426849,design
graph_model,total_negative_slack_ns,s13207,-0.156387173140041,design
graph_model,total_negative_slack_ns,Average,-13.862842562124207,mean
linear_regression,total_negative_slack_ns,s9234,-0.479636549949646,design
linear_regression,total_negative_slack_ns,s713,0.4385566115379333,design
linear_regression,total_negative_slack_ns,s5378a,0.1112398505210876,design
linear_regression,total_negative_slack_ns,s5378,0.0354877114295959,design
linear_regression,total_negative_slack_ns,s13207,-0.0883983373641967,design
linear_regression,total_negative_slack_ns,Average,-2.284040124977336,mean
mlp,total_negative_slack_ns,s9234,0.9271750450134276,design
mlp,total_negative_slack_ns,s713,0.3419042825698852,design
mlp,total_negative_slack_ns,s5378a,0.9049910306930542,design
mlp,total_negative_slack_ns,s5378,0.783004879951477,design
mlp,total_negative_slack_ns,s13207,0.9837579727172852,design
mlp,total_negative_slack_ns,Average,-0.7871350786265205,mean
