fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.25431758165359497,0.40750691294670105,0.8647298812866211
1,train,total_negative_slack_ns,49.80198669433594,205.63392639160156,0.508008599281311
1,test,worst_slack_ns,0.29416295886039734,0.49107664823532104,0.8375656008720398
1,test,total_negative_slack_ns,38.170230865478516,72.78987121582031,0.8833514451980591
2,train,worst_slack_ns,0.25912708044052124,0.4375428855419159,0.8518482446670532
2,train,total_negative_slack_ns,50.60783386230469,209.33934020996094,0.4727030396461487
2,test,worst_slack_ns,0.3306185007095337,0.47295472025871277,0.8184236288070679
2,test,total_negative_slack_ns,38.94261169433594,72.68218994140625,0.9076574444770813
3,train,worst_slack_ns,0.2543390095233917,0.41296669840812683,0.8750160932540894
3,train,total_negative_slack_ns,51.03047561645508,203.1627960205078,0.5481858849525452
3,test,worst_slack_ns,0.2920147776603699,0.47386786341667175,0.7619898319244385
3,test,total_negative_slack_ns,28.464994430541992,43.379791259765625,0.9215757846832275
4,train,worst_slack_ns,0.2590464651584625,0.43546101450920105,0.846565842628479
4,train,total_negative_slack_ns,54.50136184692383,213.83827209472656,0.48641717433929443
4,test,worst_slack_ns,0.3208322823047638,0.5204041600227356,0.8139556646347046
4,test,total_negative_slack_ns,39.52766036987305,85.45893096923828,0.779559314250946
5,train,worst_slack_ns,0.23709388077259064,0.36171624064445496,0.8977516889572144
5,train,total_negative_slack_ns,20.55988121032715,43.63357162475586,0.9523850083351135
5,test,worst_slack_ns,0.4006994366645813,0.7548682689666748,0.5520516633987427
5,test,total_negative_slack_ns,102.1134262084961,421.68359375,0.216996967792511
